catalog|country|code|char(2)|N||PK
catalog|country|name|text|N||
catalog|country|currency|char(3)|N||
catalog|country|active|boolean|N|true|
catalog|currency|code|char(3)|N||PK
catalog|currency|name|text|N||
catalog|currency|symbol|text|N||
catalog|currency|decimal_places|integer|N|2|
catalog|module|key|text|N||PK
catalog|module|label|text|N||
catalog|module|description|text|N|''|
catalog|module|side|text|N|'institution'|
catalog|module|icon|text|Y||
catalog|module|path|text|Y||
catalog|module|sort_order|integer|N|0|
catalog|module|active|boolean|N|true|
catalog|product|id|uuid|N|gen_random_uuid()|PK
catalog|product|family_id|uuid|N||FK catalog.product_family
catalog|product|code|text|N||
catalog|product|label|text|N||
catalog|product|description|text|N|''|
catalog|product|currency|char(3)|N|'MUR'|FK catalog.currency
catalog|product|min_amount|numeric(20,6)|Y||
catalog|product|max_amount|numeric(20,6)|Y||
catalog|product|min_term_months|integer|Y||
catalog|product|max_term_months|integer|Y||
catalog|product|active|boolean|N|true|
catalog|product|sort_order|integer|N|0|
catalog|product|metadata|jsonb|N|'{}'|
catalog|product|created_at|timestamptz|N|now()|
catalog|product|updated_at|timestamptz|N|now()|
catalog|product_document|id|uuid|N|gen_random_uuid()|PK
catalog|product_document|product_id|uuid|N||FK catalog.product
catalog|product_document|doc_key|text|N||
catalog|product_document|label|text|N||
catalog|product_document|description|text|N|''|
catalog|product_document|required|boolean|N|true|
catalog|product_document|allowed_mime_types|text[]|N|'{}'|
catalog|product_document|max_size_bytes|integer|Y||
catalog|product_document|sort_order|integer|N|0|
catalog|product_eligibility|id|uuid|N|gen_random_uuid()|PK
catalog|product_eligibility|product_id|uuid|N||FK catalog.product
catalog|product_eligibility|country|char(2)|Y||FK catalog.country
catalog|product_eligibility|rules|jsonb|N|'{}'|
catalog|product_eligibility|description|text|N|''|
catalog|product_eligibility|active|boolean|N|true|
catalog|product_family|id|uuid|N|gen_random_uuid()|PK
catalog|product_family|code|text|N||
catalog|product_family|label|text|N||
catalog|product_family|description|text|N|''|
catalog|product_family|icon|text|Y||
catalog|product_family|sort_order|integer|N|0|
catalog|product_family|active|boolean|N|true|
catalog|product_family|created_at|timestamptz|N|now()|
catalog|product_family|updated_at|timestamptz|N|now()|
catalog|product_parameter|id|uuid|N|gen_random_uuid()|PK
catalog|product_parameter|product_id|uuid|N||FK catalog.product
catalog|product_parameter|key|text|N||
catalog|product_parameter|label|text|N||
catalog|product_parameter|data_type|text|N|'text'|
catalog|product_parameter|required|boolean|N|false|
catalog|product_parameter|options|jsonb|Y||
catalog|product_parameter|validation|jsonb|Y||
catalog|product_parameter|sort_order|integer|N|0|
catalog|product_rate_model|id|uuid|N|gen_random_uuid()|PK
catalog|product_rate_model|product_id|uuid|N||FK catalog.product
catalog|product_rate_model|rate_type|text|N|'fixed'|
catalog|product_rate_model|min_rate|numeric(8,4)|Y||
catalog|product_rate_model|max_rate|numeric(8,4)|Y||
catalog|product_rate_model|rate_unit|text|N|'percent_per_annum'|
catalog|product_rate_model|compounding|text|N|'monthly'|
catalog|product_rate_model|config|jsonb|N|'{}'|
catalog|product_sla|id|uuid|N|gen_random_uuid()|PK
catalog|product_sla|product_id|uuid|N||FK catalog.product
catalog|product_sla|bid_window_minutes|integer|N|240|
